"0","1000","2000","3000","4000","5000","6000","7000","8000","9000","10000","11000","12000","13000","14000","15000","16000","17000","18000","19000","20000","21000","22000","23000","24000","25000","26000","27000","28000","29000","30000","31000","32000","33000","34000","35000","36000","37000","38000","39000","40000","41000","42000","43000","44000","45000","46000","47000","48000","49000","50000","51000","52000","53000","54000","55000","56000","57000","58000","59000","60000","61000","62000","63000","64000","65000","66000","67000","68000","69000","70000","71000","72000","73000","74000","75000","76000","77000","78000","79000","80000","81000","82000","83000","84000","85000","86000","87000","88000","89000","90000","91000","92000","93000","94000","95000","96000","97000","98000","99000","100000","101000","102000","103000","104000","105000","106000","107000","108000","109000","110000","111000","112000","113000","114000","115000","116000","117000","118000","119000","120000","121000","122000","123000","124000","125000","126000","127000","128000","129000","130000","131000","132000","133000","134000","135000","136000","137000","138000","139000","140000","141000","142000","143000","144000","145000","146000","147000","148000","149000","150000","151000","152000","153000","154000","155000","156000","157000","158000","159000","160000","161000","162000","163000","164000","165000","166000","167000","168000","169000","170000","171000","172000","173000","174000","175000","176000","177000","178000","179000","180000","181000","182000","183000","184000","185000","186000","187000","188000","189000","190000","191000","192000","193000","194000","195000","196000","197000","198000","199000","200000","201000","202000","203000","204000","205000","206000","207000","208000","209000","210000","211000","212000","213000","214000","215000","216000","217000","218000","219000","220000","221000","222000","223000","224000","225000","226000","227000","228000","229000","230000","231000","232000","233000","234000","235000","236000","237000","238000","239000","240000","241000","242000","243000","244000","245000","246000","247000","248000","249000","250000","251000","252000","253000","254000","255000","256000","257000","258000","259000","260000","261000","262000","263000","264000","265000","266000","267000","268000","269000","270000","271000","272000","273000","274000","275000","276000","277000","278000","279000","280000","281000","282000","283000","284000","285000","286000","287000","288000","289000","290000","291000","292000","293000","294000","295000","296000","297000","298000","299000","300000","301000","302000","303000","304000","305000","306000","307000","308000","309000","310000","311000","312000","313000","314000","315000","316000","317000","318000","319000","320000","321000","322000","323000","324000","325000","326000","327000","328000","329000","330000","331000","332000","333000","334000","335000","336000","337000","338000","339000","340000","341000","342000","343000","344000","345000","346000","347000","348000","349000","350000","351000","352000","353000","354000","355000","356000","357000","358000","359000","360000","361000","362000","363000","364000","365000","366000","367000","368000","369000","370000","371000","372000","373000","374000","375000","376000","377000","378000","379000","380000","381000","382000","383000","384000","385000","386000","387000","388000","389000","390000","391000","392000","393000","394000","395000","396000","397000","398000","399000","400000","401000","402000","403000","404000","405000","406000","407000","408000","409000","410000","411000","412000","413000","414000","415000","416000","417000","418000","419000","420000","421000","422000","423000","424000","425000","426000","427000","428000","429000","430000","431000","432000","433000","434000","435000","436000","437000","438000","439000","440000","441000","442000","443000","444000","445000","446000","447000","448000"
"sX5DlhIee4hf$H9bxq(""UZTcm0O%'$","/s in the fors ats of the pros","ourse he proctes of the presiv","ke in the Unitation of the lan","s are losed in the people the ","! Mare the virtuse of can of t","England it is not a canal inte","I had interest the laws, which","-The States and a serving an e","Northern States the present th",": See ""The State of the condit","9.]

[Footnote c: See ""The Fed","Legion and the executive posit","4. The sovereignty of the majo","[Footnote c: ""The legislature ","#31 and 23, 1831, p. 43, and w","! In the majority in the same ","? It is no less associations w","y of the courts, and
they seem","was to the means of a democrat","﻿tion, which are nothing the e","XVIII: Future the European cau","The majority of the public opi","Kentures the existence of the ","(The American Unlimited States","*c Warming and as the influenc","Legislative power in the same ","$3. In the United States was p","Be destined to set with the op","$3,000,000.]

The separate in ","30, and America was to public ","3, the people for the companiz","$255 perfic States. The tribes","*a The warm of democratic repu","[Footnote b: The most discover","Quakers of the United States c","#91 including their state of e","You the same causes which all ",") the State of Mexico a defenc","How The Federal Constitution i","1 (and the same participately ","Europe the same time and desir","In which they are the citizens","]

[Footnote c: It were that t","#715.]

[Footnote v: This was ","% what is the same opinions,
h","But the present time
a serious","7, the Anglo-Americans have no","""The Americans of the United S","it the repromises of the count","Monteses of the United States ","k is a servile still at the gr","Levell and the contrary into t","quality is not sure to be indu","ally occurred by the country, ","Messrive at a political instit","From the United States than it","When the Constitution of the S","in the South, the right of a c","But what men. The difficulty i","very nearly scarcely led to al","ke all the objects of mankind ","ks in the provincial governmen","f the country to the term of s","xercises a sailor to the respe","89.]

[Footnote k: The reason ","the constitution of the democr","mple to the principle of the c","ed to decide the traditional a","; and the law in the earliest ","5: Manical Calendar,"" 1832, p."," of the American people which ","? When the laws of the United ",""" Virginia would be described ","(""Commercial Causes Which May ","0 important to the laws of the","ates of the States which the p","Quincy are not already placed ","He was the other hand; and the",") the same manners, and it is ",".

If it were to adapt its cha",". I have compared to contain a","Legislatures and constantly
an","!]

I am already observed that","Union the deserts which are co",") the confederations of the
pe","I have had a sentence which th","XVIII: Future Condition Of The","? I perceive that the English ",": the population is the source","cial authority, but they are i",""" salary of the United States ","agree may be discovered, the f","Federal Government is not unkn","Footnote n: See the Legislatur","zed the consequences, and the ","? I am already alluded to do w","President of the Union transie","Laws of Massachusetts, almost ","4.

[Footnote a: The sense of ",""" 1831, the United States were","? It is a separated by the rea","he armed for them the politica","Zeeir or democratic republics ",") the executive power which is","Of The American Union was dest","!.

In the United States are
t","perience, and in the name of t","3, in the United States the pe","t proprietors and the sovereig","very power are the same countr","may even by the same time
and ","f the people remain and intell","ment of the United States are ","Americans of the Union before ","789.]

[Footnote k: The power ",", and the people is the intere","ity which was the other hand, ",": The power of the people rema","Revolution which I have a sing","/ Is Court in the United State","86), to submit to the executo ","
commercial activity of the fu","xecutive power is completely o","?

The great advantages which ","A man who reader and enlighten","I am too manufaces, and are th","New York ""Democratic States of","Northern States are rare, the ","'s
""Commentaries,"" p. 13.]

Th","cide my imagined that the most","7, vol. i. p.
35.]

The contro","States, and separated by the c","United States, which is consta","England, it is easy to subsist","210. To the country. When the ","75507.]

[Footnote e: It is in","﻿ Administration In The United","d of the executive power than ","ge with the existence of the p","Of The Federal Constitution of","830 there is united to the Ame","Of The United
States Congress ","l and propensities are alarmin","It is composed of affairs.

In",""" In the United States and the","American society is the charac","quently affirm that the princi","XIV: Carelities in the United ","Footnote n: [This is constantl","Legislation. It is to be found","English and Chinnit Lacker, th","//wwwist years, and that in th","613,000,000. The great religio","God all the supremacy of the c","he most prominent period the i","which he was attached to the s","ve individuals who compose it ","y entrust the same tribunals, ","; the motives of the United St","ow the despotism of the law of","re in the minds of finances is","'s History,"" p. 47; June
24, 1",") the same individuals, to des","rtion of the planters of the p","In the United States should ha","! if they consequently be imag","He had the same, and they are ","; and the European continent o","ulation of the Union only to t","% of the several laws and the ","House of Representatives
of th","!.

The direction, or by the p","Kently
be assign to the same s","1830 the people in the name of","be disturbed by a great democr",") be assigned to the men who h","? The Europeans are the childr","Zealow the laws of the nation ","American habitual ardicating i","resent day it is not a constit","ich the common source of prope","lican than the privileges whic","ch striking spirit, and it is ","Footnote c: It has not more co","9, and they are accustomed to ","*r It is to the southern State","#815
America the supreme estim",", and they were now subjects i","Darged in the United States th","ntrol of rights with the last ","rests of the country the commo","presentatives of the governmen","ly as the laws of the South an","90.]

The population of the Un","e solitudes of the subject wit","0,000 fr. next to the maintena","s which are always expected an","Virginia he was easy to submit","quainted
with the means of ina",". The only advantages which ar","$254,055, and afterwards a con","ments of the United States the","), and they are consider the p","800 I was englans at least in ","Democracy in America the laws ","f the ordinary power of a coun","831. The United States and the","Laws of Delaware, which may be","; the political bodies of the ","Indian nations of Europe their","Maine and the same time. All t","Mexico has yet destroyed the l","Districal activity of the Crow","Democracy In America--Part III","﻿The American Union, since the","zens in the United States the ","*l

[Footnote a: I am aware th","ld and several reasons for the",". In the United States the pre","% of the most absolute monarch","789, and they are more worthy ","Senate is constantly arrived a","zens in the course of the town","!

In the United States are ac","istration of the country which","King of Sessions which are mos","n the same form of government ","But it may
sometimes be reserv","y form of government. The prop","﻿The Constitution of 1831, whe","can interests of the same indi","government them to conquer the","xternal assembly; they are suf","between the consequences of th","#810--Considered in the same g","n the property of the Republic",""" savage Decembers of Legislat","""He seems to be destroyed. It ","

In the United States of the ","y it was
a portion of the law ","with the most difficulty of th","zens are prominently to the mi","; the present power of the pow","s to the same influence betwee","judices are exclusively in the","(and the country in the hands ","n for the causes which may be ","y of the United States with th","xecution of the direction of c","Government of the United State",", the community at large, and ","propensities to produce a dist","the colonies which are at once","His life is strong, the popula","ure is favorable to the most f","Virginia, the consequences of ","President of the
United States","Government, and the community ","zed in the increase of the law","200 explain the present part o","--Enatement of the country wit","King to the secret of his own ","$254,796 forests, and the dest","1861 negroes to the same princ","milse and the people which are","England the State of New York ","European shipping of America h","the constitutional tendency of","﻿The President is a novelty. T","0, 1802.]

[Footnote c: If the","!.]

And in the United States,","'s ""Commentaries, and the Stat","York may be admitted to be fou"," which is so engendered them w","75 ""The Federal Constitution f","789, to a man who should be un","1830, the American Constitutio","f security of the English aris",""" Section
138833, the people i",""" I have despot. But the proge","y shown that the same time the","Ving Does to the State. It is ","vernments of the Union were to",", and it is not the constituti","ted by the country in the Unit","d a thousand difficulties of t","York entage of the people of t","4, p. 170. In the United State","most assigned to a small power","the existence of a government ",""" says The Americans are scarc","ants of the State of New York ","The inventional than the other","xamined the constitutional pow","is obliged to anarchy or civil","-Americans are constantly and ","You do not most intelligence a","France, which was also the sov","European obstacles, and in the","3, 1825. In a man of the Presi","!. 36 Congress by the influenc","is appointed to the sovereignt",": it is constantly alternative","y which he exposed to the pres","Union is at the same time whic","VIII


The United States
will ","""New York contests another. Bu","he Federal Government is deser","Quakers in the direction of th","But the execution of the peopl","y of the work of the great ari","Virginia, and the proportion a","1790 to a certain extent of a ","restraining a country which ex","Democratic Republic, Virginia ","Quakers. But in the province o","
and the manners of the whites","he Union was never have been f","es to the power of the princip","; the Union does not present t","You and the right of promises ","389, 615.) Two Houses. The pol","150,000 inhabited the popular ","7, p. 280. Their interests of ","//gh. The majority of the tota","Distions of the United States ","We shall be apprehended as the","@pglaf,
and even the
contrary,","#5.

In the United States of N","Virginia, and the notion of ri","place of the majority is very ","789: See ""The Federalists of A","ges of the power which had bee","York.]

[Footnote v: The Ameri","uently feel that the instituti","Both Marchmonanticital part of",""" *r chosen by the spirit of l","]

[Footnote c: Congress, Virg","99 (in America the election of","Constitution of the United Sta","/ The States of New England is","very imposed of a rights are a","[Footnote d: It is not the sol","780 it which he is liable to i","ation which is any strangers, ","nd the population of the Ameri","But may be distinguished the l","ates the Constitution of the U","United States are not always t","America the press. The legisla","d the tribes are subject to th","l influence it received by the","*f The power of the United Sta","X (Whetch America was never be","$2501,330 names of the Federal","61 the President is constantly","27, including the ratio of the","er the other hand, it
is the c","Linefribute to the inhabitants","King is superior to the intere","#5.1 Id the United States Ther","ged the other States of the Un","more peculiarly to their count","0 square miles of execution of","y to lose it.

On the contrary","the character of the majority ","]

[Footnote n: The lot for a ","What the county.

The populati","Legislative Documents of New E","(25.]

But the laws and the en","wind the subject without the d","ke the same laws in the midst ","4.]

[Footnote k: See ""Pitkion","zens are most favorable to the","wing a people are invested wit","*s [Footnote u: See Appendix, ","When a part of the United Stat","ment of the Project Gutenberg-","American legislation in the St","]

[Footnote g: See the Consti","(""Now as a great people which ","I then this could be perceptib","170.]

[Footnote v: This compe","xistence of the United States,","--Their power and the most dan","quitting the Federal Governmen","ject the means of religious di","the soil and the characteristi","000 of submitting a secure of ",". The same
manner the power of",") is so of the administration ","86.]

[Footnote c: The Union h","quitting the country and the p","judicial power in the United S","Of The State Befordination to ","posed to a permanent existence","State. It is rapidly formed by","Constitution, is the original ","Of The President The Constitut","Americans are to be said to ob","Of The
State, *a when it is no","ject Gutenberg-tm electronic w","$1,000,000; that the individua","Quakers are not the character ","g and savage life, and the mos","Virginia see the same cause of","public officers, and of the pe","; and the first of the States ","Mississippi-share of the citiz","@pgetic Democracy in America.
","f the advantages of the countr","ked by a constitution was dest","xceeds the reader which they a","bed of the American legislator","5.]

[Footnote b: The State of","; and the law of the laws. The","In the United States could onl","ject Gutenberg"" is not the con","k person of a better of the St","(187) 36.]

[Footnote q: [Land","Europeans are then ten years t","Of The American Democracy Arce","Americans have the same preced","Virginia, it is the only surve","rity with the other with their","ind the same form of governmen","/ And The Majority Washington,","pil is the great party which t",") 
I have detested the desires","5, 17896
the Union has more na","by the internal propensities t","in the State of New York espec","*d It destined to inquire when","han the States which we have g","? In the other in the States i","judicial power of the North. T",": the execution of the
communi","on of the laws of the United S","ction of their country and the","5, the Federal Government that","'s Spirity Of The Press Of The","32, and the King of France, th","//wnwillant of the United Stat","ct and the most favorable to t","

The country by the pride of ","But in the judges, in the pres","ged to express the administrat","1789 there are therefore that "
"0.0","0.3984375","0.4786458333333333","0.5171875","0.5755208333333334","0.5885416666666666","0.5989583333333334","0.58125","0.6203125","0.6036458333333333","0.6229166666666667","0.6244791666666667","0.6401041666666667","0.6427083333333333","0.621875","0.6135416666666667","0.6260416666666667","0.625","0.6119791666666666","0.6213541666666667","0.6447916666666667","0.6291666666666667","0.6546875","0.6291666666666667","0.640625","0.6494791666666667","0.6354166666666666","0.6505208333333333","0.6479166666666667","0.6432291666666666","0.6515625","0.6567708333333333","0.64375","0.6286458333333333","0.6276041666666666","0.6484375","0.6479166666666667","0.6484375","0.6375","0.6671875","0.64375","0.646875","0.6489583333333333","0.6682291666666667","0.6546875","0.6630208333333333","0.6614583333333334","0.6723958333333333","0.6536458333333334","0.6421875","0.6630208333333333","0.6614583333333334","0.6713541666666667","0.6859375","0.6651041666666667","0.6755208333333333","0.6677083333333333","0.6645833333333333","0.6854166666666667","0.6604166666666667","0.646875","0.6661458333333333","0.6703125","0.6619791666666667","0.6583333333333333","0.6494791666666667","0.6536458333333334","0.6546875","0.6604166666666667","0.66875","0.6552083333333333","0.665625","0.6729166666666667","0.6739583333333333","0.6765625","0.6625","0.6604166666666667","0.6640625","0.6671875","0.6796875","0.6604166666666667","0.665625","0.6635416666666667","0.6776041666666667","0.65625","0.6609375","0.665625","0.6927083333333334","0.6567708333333333","0.6630208333333333","0.6661458333333333","0.671875","0.659375","0.6567708333333333","0.6921875","0.6630208333333333","0.64375","0.6708333333333333","0.6557291666666667","0.6734375","0.6614583333333334","0.6692708333333334","0.690625","0.6703125","0.6671875","0.6817708333333333","0.684375","0.6796875","0.6729166666666667","0.6552083333333333","0.6682291666666667","0.6729166666666667","0.6708333333333333","0.6625","0.6666666666666666","0.6692708333333334","0.6598958333333333","0.6651041666666667","0.6770833333333334","0.675","0.6583333333333333","0.6604166666666667","0.665625","0.6661458333333333","0.66875","0.6765625","0.6859375","0.6578125","0.6854166666666667","0.6640625","0.6890625","0.6661458333333333","0.6739583333333333","0.6760416666666667","0.6833333333333333","0.6755208333333333","0.6619791666666667","0.6619791666666667","0.6651041666666667","0.6614583333333334","0.6619791666666667","0.6640625","0.66875","0.65625","0.65625","0.66875","0.671875","0.6572916666666667","0.6760416666666667","0.6807291666666667","0.690625","0.6786458333333333","0.6713541666666667","0.6567708333333333","0.65625","0.6828125","0.6776041666666667","0.6703125","0.6760416666666667","0.6703125","0.6864583333333333","0.6666666666666666","0.6739583333333333","0.6651041666666667","0.6895833333333333","0.6947916666666667","0.6755208333333333","0.6552083333333333","0.6708333333333333","0.6671875","0.6802083333333333","0.6697916666666667","0.6927083333333334","0.653125","0.6609375","0.675","0.6625","0.6890625","0.6755208333333333","0.6770833333333334","0.6864583333333333","0.6640625","0.65625","0.6796875","0.6739583333333333","0.6796875","0.6828125","0.6729166666666667","0.6697916666666667","0.6817708333333333","0.6729166666666667","0.675","0.6765625","0.6760416666666667","0.6744791666666666","0.6703125","0.6729166666666667","0.6838541666666667","0.6744791666666666","0.6734375","0.6765625","0.6869791666666667","0.6666666666666666","0.6682291666666667","0.68125","0.6729166666666667","0.6692708333333334","0.6942708333333333","0.6625","0.6817708333333333","0.6697916666666667","0.6708333333333333","0.6786458333333333","0.6828125","0.6760416666666667","0.68125","0.6890625","0.6536458333333334","0.696875","0.6703125","0.6864583333333333","0.6796875","0.6869791666666667","0.6791666666666667","0.6734375","0.6661458333333333","0.6671875","0.6833333333333333","0.6989583333333333","0.6635416666666667","0.6671875","0.6723958333333333","0.6890625","0.6635416666666667","0.6713541666666667","0.6833333333333333","0.6614583333333334","0.6703125","0.675","0.6671875","0.675","0.6921875","0.6755208333333333","0.6697916666666667","0.6619791666666667","0.6776041666666667","0.6604166666666667","0.6796875","0.6817708333333333","0.6770833333333334","0.6708333333333333","0.684375","0.675","0.6755208333333333","0.6734375","0.6635416666666667","0.6875","0.6697916666666667","0.6833333333333333","0.6744791666666666","0.6765625","0.6901041666666666","0.6796875","0.6755208333333333","0.6520833333333333","0.6729166666666667","0.6802083333333333","0.6776041666666667","0.6947916666666667","0.6677083333333333","0.6833333333333333","0.6791666666666667","0.6625","0.6692708333333334","0.6864583333333333","0.6916666666666667","0.678125","0.6723958333333333","0.6895833333333333","0.6791666666666667","0.684375","0.6671875","0.6713541666666667","0.6765625","0.6942708333333333","0.684375","0.6994791666666667","0.68125","0.6828125","0.6875","0.6536458333333334","0.6786458333333333","0.6833333333333333","0.684375","0.6614583333333334","0.6927083333333334","0.6760416666666667","0.68125","0.6723958333333333","0.6692708333333334","0.6854166666666667","0.6661458333333333","0.6682291666666667","0.6786458333333333","0.6557291666666667","0.6708333333333333","0.6765625","0.6765625","0.6677083333333333","0.6708333333333333","0.6869791666666667","0.6723958333333333","0.6635416666666667","0.6786458333333333","0.6833333333333333","0.6796875","0.6807291666666667","0.6901041666666666","0.6604166666666667","0.6692708333333334","0.690625","0.6677083333333333","0.6713541666666667","0.7046875","0.6807291666666667","0.6739583333333333","0.6802083333333333","0.66875","0.6854166666666667","0.6677083333333333","0.6817708333333333","0.6880208333333333","0.6932291666666667","0.678125","0.6864583333333333","0.6755208333333333","0.6791666666666667","0.6723958333333333","0.6734375","0.6776041666666667","0.6744791666666666","0.6734375","0.6770833333333334","0.6770833333333334","0.6828125","0.6703125","0.6875","0.6802083333333333","0.6911458333333333","0.7015625","0.6755208333333333","0.6942708333333333","0.6770833333333334","0.6744791666666666","0.6895833333333333","0.6838541666666667","0.6848958333333334","0.6984375","0.6921875","0.6630208333333333","0.6848958333333334","0.6526041666666667","0.6911458333333333","0.671875","0.6838541666666667","0.6854166666666667","0.6927083333333334","0.675","0.6802083333333333","0.6776041666666667","0.6786458333333333","0.6828125","0.6770833333333334","0.684375","0.684375","0.6734375","0.675","0.6932291666666667","0.6802083333333333","0.675","0.671875","0.6848958333333334","0.6822916666666666","0.6572916666666667","0.6833333333333333","0.6651041666666667","0.6880208333333333","0.6854166666666667","0.6588541666666666","0.6817708333333333","0.6723958333333333","0.6723958333333333","0.6786458333333333","0.684375","0.6697916666666667","0.6911458333333333","0.6770833333333334","0.684375","0.6661458333333333","0.6765625","0.6635416666666667","0.6901041666666666","0.6869791666666667","0.6838541666666667","0.6848958333333334","0.6791666666666667","0.6744791666666666","0.6848958333333334","0.6869791666666667","0.6984375","0.6786458333333333","0.6708333333333333","0.6880208333333333","0.6911458333333333","0.6869791666666667","0.6927083333333334","0.6932291666666667","0.66875","0.6864583333333333","0.6723958333333333","0.690625","0.6817708333333333","0.6927083333333334","0.6755208333333333","0.6765625","0.6885416666666667","0.6692708333333334","0.6890625","0.6630208333333333","0.6552083333333333","0.6729166666666667","0.6682291666666667","0.6911458333333333","0.6692708333333334","0.6791666666666667","0.7057291666666666","0.6822916666666666","0.6760416666666667","0.6744791666666666","0.6864583333333333","0.6776041666666667","0.6713541666666667","0.690625","0.6677083333333333","0.6916666666666667","0.6765625","0.69375","0.6645833333333333","0.6671875"
"4.430846214294434","2.032222270965576","1.8237669467926025","1.6374067068099976","1.4499038457870483","1.4163869619369507","1.3443700075149536","1.3662480115890503","1.2570043802261353","1.3385908603668213","1.2353249788284302","1.2624428272247314","1.2104545831680298","1.2026259899139404","1.259582757949829","1.2699241638183594","1.1948655843734741","1.2114824056625366","1.2646702527999878","1.214851975440979","1.2042850255966187","1.2241575717926025","1.1550027132034302","1.2011895179748535","1.1864948272705078","1.1421616077423096","1.198819637298584","1.161150336265564","1.110957384109497","1.1469272375106812","1.1085917949676514","1.1414872407913208","1.136730670928955","1.1576743125915527","1.2223784923553467","1.1435983180999756","1.1277016401290894","1.1296464204788208","1.1442009210586548","1.0776563882827759","1.139176845550537","1.0934836864471436","1.1507617235183716","1.0842701196670532","1.0857256650924683","1.1291805505752563","1.1057723760604858","1.0732837915420532","1.1128360033035278","1.1628435850143433","1.10813307762146","1.105941891670227","1.085988998413086","1.0108954906463623","1.1088398694992065","1.0472484827041626","1.0829529762268066","1.0817383527755737","1.0198220014572144","1.0889939069747925","1.0871714353561401","1.080502986907959","1.0751209259033203","1.0619630813598633","1.1051188707351685","1.1078206300735474","1.0697869062423706","1.1013119220733643","1.1018424034118652","1.066696286201477","1.0893653631210327","1.1031526327133179","1.0343767404556274","1.0775202512741089","1.059279203414917","1.0870555639266968","1.0754295587539673","1.0721839666366577","1.0689653158187866","1.053282618522644","1.0486758947372437","1.0636440515518188","1.083911418914795","1.0834420919418335","1.0773711204528809","1.085248351097107","1.0875076055526733","1.0449583530426025","1.08689284324646","1.1027522087097168","1.077804446220398","1.0765101909637451","1.077688455581665","1.0992870330810547","1.027491569519043","1.0512393712997437","1.1003409624099731","1.0712001323699951","1.1057649850845337","1.071104645729065","1.103502631187439","1.0685031414031982","1.0318303108215332","1.043131709098816","1.0614022016525269","1.0350795984268188","1.0231600999832153","1.0463268756866455","1.0744094848632812","1.1046125888824463","1.0846272706985474","1.0775266885757446","1.015014886856079","1.1015816926956177","1.073662281036377","1.0801409482955933","1.0957623720169067","1.0673271417617798","1.0039945840835571","1.030652403831482","1.116498589515686","1.118902325630188","1.0671868324279785","1.0816287994384766","1.0707889795303345","1.0425318479537964","1.04865300655365","1.1085914373397827","1.0181277990341187","1.0805644989013672","0.9959524273872375","1.0596697330474854","1.0314826965332031","1.0371146202087402","1.0127348899841309","1.026538610458374","1.0760761499404907","1.0500829219818115","1.0876861810684204","1.056526780128479","1.0945018529891968","1.0830708742141724","1.065585970878601","1.1120809316635132","1.1111445426940918","1.086208701133728","1.0441527366638184","1.0961400270462036","1.0366402864456177","1.009914755821228","0.9985544085502625","1.0202921628952026","1.0575652122497559","1.0584392547607422","1.0933924913406372","1.0328693389892578","1.0107674598693848","1.082012414932251","1.0818979740142822","1.0826259851455688","1.0211145877838135","1.0326685905456543","1.0487066507339478","1.0658634901046753","1.0097836256027222","1.0044833421707153","1.0018097162246704","1.0989903211593628","1.040097713470459","1.058806300163269","1.0408904552459717","1.0520522594451904","0.9915357232093811","1.0988441705703735","1.0612733364105225","1.037503957748413","1.074878215789795","1.007898211479187","1.0552678108215332","1.046013355255127","1.0392422676086426","1.080902099609375","1.0701035261154175","1.0143474340438843","1.0524439811706543","1.024778962135315","1.0237544775009155","1.0722395181655884","1.0254428386688232","1.0323388576507568","1.0522791147232056","1.0522944927215576","1.0220307111740112","1.003517985343933","1.0513242483139038","1.077837347984314","1.0670069456100464","1.0452975034713745","1.062224268913269","1.0600088834762573","1.0423911809921265","1.0191811323165894","1.0430854558944702","1.0406793355941772","1.0110334157943726","1.0310338735580444","1.0706688165664673","1.0034912824630737","1.049414038658142","1.0176440477371216","1.0531591176986694","1.0166383981704712","1.0455689430236816","1.0372287034988403","1.040629267692566","1.006110668182373","0.9978095293045044","1.0696309804916382","1.0053563117980957","1.0689282417297363","1.0172784328460693","1.029413104057312","1.0004135370254517","1.0546847581863403","1.0310097932815552","1.0510859489440918","1.0708768367767334","1.0075124502182007","0.9497314691543579","1.0576131343841553","1.0573241710662842","1.0564295053482056","0.995880126953125","1.0918333530426025","1.0547159910202026","1.0076512098312378","1.0809104442596436","1.0348200798034668","1.015950083732605","1.0692111253738403","1.0643399953842163","1.0098482370376587","1.0184352397918701","1.0582085847854614","1.0661333799362183","1.0482800006866455","1.0628271102905273","1.047284483909607","1.0404760837554932","1.0451542139053345","1.0781234502792358","1.007362961769104","1.0426067113876343","1.0462169647216797","1.0352087020874023","1.0901508331298828","0.990839958190918","1.0253769159317017","1.0494025945663452","1.043443202972412","1.0533462762832642","1.0343849658966064","1.0182713270187378","1.0405887365341187","1.055010437965393","1.0391004085540771","1.033071517944336","1.0476628541946411","1.0012943744659424","1.0599032640457153","1.0061765909194946","1.021061897277832","1.0527359247207642","1.077043056488037","1.0017577409744263","0.9735510945320129","1.053176999092102","1.0627151727676392","1.009552001953125","1.039176344871521","1.0175782442092896","1.0639444589614868","1.0340968370437622","1.0107789039611816","1.009909987449646","1.0393654108047485","0.9877254962921143","1.0155261754989624","1.0157976150512695","1.0133460760116577","1.0807925462722778","1.0543029308319092","1.0319828987121582","1.0120567083358765","1.097044587135315","1.0059256553649902","1.0356063842773438","1.0110933780670166","1.046462893486023","1.076122760772705","1.0111479759216309","1.0762503147125244","1.0648857355117798","1.0087131261825562","1.0998015403747559","1.021788239479065","1.0529507398605347","1.0401381254196167","1.0900071859359741","1.0642666816711426","1.0266993045806885","1.0460196733474731","1.0435501337051392","1.0376180410385132","1.0277360677719116","1.0423732995986938","1.0398234128952026","1.014884114265442","1.0643788576126099","1.0821263790130615","0.9960652589797974","1.071574330329895","1.0375162363052368","0.9774574041366577","1.029975175857544","1.0519896745681763","1.0331816673278809","1.0401197671890259","1.0165185928344727","1.0561823844909668","1.0084893703460693","0.9820027947425842","1.0075743198394775","1.049527883529663","1.027012825012207","1.0630466938018799","1.0374882221221924","1.0305836200714111","1.035882830619812","1.0086748600006104","1.031415343284607","1.0173662900924683","1.0388935804367065","1.0263903141021729","1.0374444723129272","1.0269683599472046","1.024612545967102","1.007462739944458","1.008120059967041","0.9934976696968079","1.0345816612243652","1.0015686750411987","1.0478405952453613","1.0172475576400757","0.9820382595062256","1.010008454322815","1.0163151025772095","0.9750344157218933","1.004340410232544","1.077460765838623","1.0147626399993896","1.076855182647705","0.9813448190689087","1.0391268730163574","1.0352652072906494","1.0214189291000366","1.003986120223999","1.0045279264450073","1.0441514253616333","1.030190110206604","1.0334144830703735","1.054218053817749","1.054500937461853","1.0422570705413818","1.005486249923706","1.0390549898147583","1.0244593620300293","0.9996269345283508","1.0174590349197388","1.0199885368347168","1.0468109846115112","1.0407978296279907","1.0252442359924316","1.0933458805084229","1.012961983680725","1.0459855794906616","1.0086978673934937","1.0238330364227295","1.063533067703247","1.028557300567627","1.0555174350738525","1.0556446313858032","1.0292894840240479","1.0307488441467285","1.0685659646987915","1.0018054246902466","1.0092706680297852","1.0036520957946777","1.0885570049285889","1.0179805755615234","1.0985114574432373","0.9782028794288635","1.0493334531784058","1.0420234203338623","1.0243786573410034","1.0509024858474731","1.0420371294021606","1.0246628522872925","1.0031369924545288","0.9995075464248657","1.026373267173767","1.0302776098251343","0.9932701587677002","1.0141979455947876","1.0181986093521118","1.0282214879989624","1.0075345039367676","1.05879807472229","1.0195660591125488","1.0449239015579224","0.9875252842903137","1.0264993906021118","0.9960081577301025","1.0449761152267456","1.0272942781448364","1.0245765447616577","1.0517702102661133","1.0307992696762085","1.0794659852981567","1.0980604887008667","1.075183391571045","1.0612095594406128","0.986618161201477","1.0642924308776855","1.0048927068710327","0.9357843399047852","1.0132795572280884","1.0141347646713257","1.0397086143493652","1.008569359779358","1.0282974243164062","1.0623774528503418","1.0149327516555786","1.0625264644622803","0.9942538142204285","1.0315824747085571","1.0260385274887085","1.0659593343734741","1.0678653717041016"
